0,0,0,0,0,0,0,0,0,0,0,0
5425532,0,0,0,0,0,0,0,0,0,0,0
10851064,0,0,0,0,0,0,0,0,0,0,0
16276596,0,0,0,0,0,0,0,0,0,0,0
21702128,0,0,0,0,0,0,0,0,0,0,0
27127660,0,0,0,0,0,0,0,0,0,0,0
32553192,0,0,0,0,0,0,0,0,0,0,0
37978724,0,0,0,0,0,0,0,0,0,0,0
43404256,0,0,0,0,0,0,0,0,0,0,0
48829788,0,0,0,0,0,0,0,0,0,0,0
54255320,0,0,0,0,0,0,0,0,0,0,0
59680852,0,0,0,0,0,0,0,0,0,0,0
65106384,0,0,0,0,0,0,0,0,0,0,0
70531916,0,0,0,0,0,0,0,0,0,0,0
75957448,0,0,0,0,0,0,0,0,0,0,0
81382980,0,0,0,0,0,0,0,0,0,0,0
86808512,0,0,0,0,0,0,0,0,0,0,0
92234044,0,0,0,0,0,0,0,0,0,0,0
97659576,0,0,0,0,0,0,0,0,0,0,0
103085108,0,0,0,0,0,0,0,0,0,0,0
108510640,0,0,0,0,0,0,0,0,0,0,0
113936172,0,0,0,0,0,0,0,0,0,0,0
119361704,0,0,0,0,0,0,0,0,0,0,0
124787236,0,0,0,0,0,0,0,0,0,0,0
130212768,0,0,0,0,0,0,0,0,0,0,0
135638300,0,0,0,0,0,0,0,0,0,0,0
141063832,0,0,0,0,0,0,0,0,0,0,0
146489364,412,412,412,104,0,0,0,0,0,0,0
151914896,796,796,796,104,0,0,0,0,0,0,0
157340428,1210,1210,1210,104,0,0,0,0,0,0,0
162765960,1628,1628,1628,104,0,0,0,0,0,0,0
168191492,2038,2038,2038,104,0,0,0,0,0,0,0
173617024,2423,2423,2423,104,0,0,0,0,0,0,0
179042556,2853,2853,2853,104,0,0,0,0,0,0,0
184468088,3183,3183,3183,104,0,0,0,0,0,0,0
189893620,3545,3545,3545,104,0,0,0,0,0,0,0
195319152,3919,3919,3919,104,0,0,0,0,0,0,0
200744684,4402,4402,3971,104,0,0,0,0,0,0,0
206170216,4912,4912,3971,104,0,0,0,0,0,0,0
211595748,5454,5454,3971,104,0,0,0,0,0,0,0
217021280,6025,6025,3971,104,0,0,0,0,0,0,0
222446812,6447,6447,3971,104,0,0,0,0,0,0,0
227872344,6741,6741,3971,104,0,0,0,0,0,0,0
233297876,7067,7067,3971,104,0,0,0,0,0,0,0
238723408,7374,7374,3971,104,0,0,0,0,0,0,0
244148940,7680,7680,3971,104,0,0,0,0,0,0,0
249574472,8041,8041,3971,104,0,0,0,0,0,0,0
255000004,8424,8101,3971,104,0,0,0,0,0,0,0
260425536,8865,8101,3971,104,0,0,0,0,0,0,0
265851068,9294,8101,3971,104,0,0,0,0,0,0,0
271276600,9613,8101,3971,104,0,0,0,0,0,0,0
276702132,9964,8101,3971,104,0,0,0,0,0,0,0
282127664,10355,8101,3971,104,0,0,0,0,0,0,0
287553196,10782,8101,3971,104,0,0,0,0,0,0,0
292978728,11411,8101,3971,104,0,0,0,0,0,0,0
298404260,11811,8101,3971,104,0,0,0,0,0,0,0
303829792,12405,8101,3971,104,0,0,0,0,0,0,0
309255324,0,0,0,0,0,0,0,0,0,0,0
314680856,0,0,0,0,0,0,0,0,0,0,0
320106388,0,0,0,0,0,0,0,0,0,0,0
325531920,0,0,0,0,0,0,0,0,0,0,0
330957452,0,0,0,0,0,0,0,0,0,0,0
336382984,0,0,0,0,0,0,0,0,0,0,0
341808516,0,0,0,0,0,0,0,0,0,0,0
347234048,0,0,0,0,0,0,0,0,0,0,0
352659580,0,0,0,0,0,0,0,0,0,0,0
358085112,0,0,0,0,0,0,0,0,0,0,0
363510644,0,0,0,0,0,0,0,0,0,0,0
368936176,0,0,0,0,0,0,0,0,0,0,0
374361708,0,0,0,0,0,0,0,0,0,0,0
379787240,0,0,0,0,0,0,0,0,0,0,0
385212772,0,0,0,0,0,0,0,0,0,0,0
390638304,0,0,0,0,0,0,0,0,0,0,0
396063836,0,0,0,0,0,0,0,0,0,0,0
401489368,0,0,0,0,0,0,0,0,0,0,0
406914900,0,0,0,0,0,0,0,0,0,0,0
412340432,0,0,0,0,0,0,0,0,0,0,0
417765964,0,0,0,0,0,0,0,0,0,0,0
423191496,0,0,0,0,0,0,0,0,0,0,0
428617028,0,0,0,0,0,0,0,0,0,0,0
434042560,0,0,0,0,0,0,0,0,0,0,0
439468092,0,0,0,0,0,0,0,0,0,0,0
444893624,0,0,0,0,0,0,0,0,0,0,0
450319156,0,0,0,0,0,0,0,0,0,0,0
455744688,0,0,0,0,0,0,0,0,0,0,0
461170220,0,0,0,0,0,0,0,0,0,0,0
466595752,0,0,0,0,0,0,0,0,0,0,0
472021284,0,0,0,0,0,0,0,0,0,0,0
477446816,0,0,0,0,0,0,0,0,0,0,0
482872348,0,0,0,0,0,0,0,0,0,0,0
488297880,0,0,0,0,0,0,0,0,0,0,0
493723412,0,0,0,0,0,0,0,0,0,0,0
499148944,0,0,0,0,0,0,0,0,0,0,0
504574476,0,0,0,0,0,0,0,0,0,0,0
510000008,0,0,0,0,0,0,0,0,0,0,0
515425540,0,0,0,0,0,0,0,0,0,0,0
520851072,0,0,0,0,0,0,0,0,0,0,0
526276604,0,0,0,0,0,0,0,0,0,0,0
531702136,0,0,0,0,0,0,0,0,0,0,0
537127668,0,0,0,0,0,0,0,0,0,0,0
542553200,0,0,0,0,0,0,0,0,0,0,0
